id,batchID,batchIDLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01KBT760Y3XKT1HN7YNBM7EW58,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:09.667942391Z,true,2025-12-06T16:18:46.888102465Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:09.667942391Z,2,2025-12-06T16:16:09.667942391Z,Round 2,2025-12-06T16:16:09.667942391Z,2,2025-12-06T16:16:09.739873121Z,true,2025-12-06T16:17:07.154283588Z
01KBT760YAJZC1HBZ0GEM92EYK,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:09.674737219Z,false,2025-12-06T16:16:09.674737219Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:09.674737219Z,12,2025-12-06T16:16:09.674737219Z,Round 12,2025-12-06T16:16:09.674737219Z,2,2025-12-06T16:16:09.923043674Z,false,2025-12-06T16:16:09.674737219Z
01KBT8JC5D3RTVXQJX8RH8JFKQ,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:22.9577053Z,true,2025-12-06T16:44:42.106417789Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:22.9577053Z,12,2025-12-06T16:40:22.9577053Z,Round 12,2025-12-06T16:40:22.9577053Z,2,2025-12-06T16:40:23.215639985Z,true,2025-12-06T16:44:34.77206148Z
01KBT760Y0B15RNQ60AR931TRH,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:09.664646087Z,true,2025-12-06T16:16:40.639836979Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:09.664646087Z,0,2025-12-06T16:16:09.664646087Z,Round 0,2025-12-06T16:16:09.664646087Z,2,2025-12-06T16:16:09.708229782Z,true,2025-12-06T16:16:10.110732519Z
01KBT760Y6W0QPHYMSKE86J4Y0,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:09.670454814Z,false,2025-12-06T16:16:09.670454814Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:09.670454814Z,6,2025-12-06T16:16:09.670454814Z,Round 6,2025-12-06T16:16:09.670454814Z,2,2025-12-06T16:16:09.808909507Z,false,2025-12-06T16:16:09.670454814Z
01KBT760Y7WKP7JCRK5DDD1GZT,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:09.671150591Z,false,2025-12-06T16:16:09.671150591Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:09.671150591Z,7,2025-12-06T16:16:09.671150591Z,Round 7,2025-12-06T16:16:09.671150591Z,2,2025-12-06T16:16:09.824518927Z,false,2025-12-06T16:16:09.671150591Z
01KBT760Y7WKP7JCRK68T1FR3N,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:09.671849697Z,false,2025-12-06T16:16:09.671849697Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:09.671849697Z,8,2025-12-06T16:16:09.671849697Z,Round 8,2025-12-06T16:16:09.671849697Z,2,2025-12-06T16:16:09.838131822Z,false,2025-12-06T16:16:09.671849697Z
01KBT8JC50PPEYW5YGKMAJZSGS,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:22.944584276Z,true,2025-12-06T16:41:51.411630619Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:22.944584276Z,0,2025-12-06T16:40:22.944584276Z,Round 0,2025-12-06T16:40:22.944584276Z,2,2025-12-06T16:40:22.992476584Z,true,2025-12-06T16:40:23.426941452Z
01KBT8JC52TN0BGQJ72TB7R76K,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:22.946732056Z,true,2025-12-06T16:42:09.752628044Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:22.946732056Z,1,2025-12-06T16:40:22.946732056Z,Round 1,2025-12-06T16:40:22.946732056Z,2,2025-12-06T16:40:23.007158727Z,true,2025-12-06T16:41:51.425272924Z
01KBT760Y4G0WHXA8QFP66KS1Z,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:09.668704252Z,true,2025-12-06T16:19:20.687423155Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:09.668704252Z,3,2025-12-06T16:16:09.668704252Z,Round 3,2025-12-06T16:16:09.668704252Z,2,2025-12-06T16:16:09.751337192Z,true,2025-12-06T16:18:46.900823199Z
01KBT8JC54DTHF92S8VW79J64E,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:22.948538035Z,true,2025-12-06T16:42:49.134397871Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:22.948538035Z,3,2025-12-06T16:40:22.948538035Z,Round 3,2025-12-06T16:40:22.948538035Z,2,2025-12-06T16:40:23.051174579Z,true,2025-12-06T16:42:29.001855014Z
01KBT8JC56QPA0CY91YDPZ1HNB,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:22.950290977Z,true,2025-12-06T16:43:27.148186338Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:22.950290977Z,5,2025-12-06T16:40:22.950290977Z,Round 5,2025-12-06T16:40:22.950290977Z,2,2025-12-06T16:40:23.092317868Z,true,2025-12-06T16:43:07.366416715Z
01KBT760Y3XKT1HN7YMVMVR1NR,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:09.667154385Z,true,2025-12-06T16:17:07.144035083Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:09.667154385Z,1,2025-12-06T16:16:09.667154385Z,Round 1,2025-12-06T16:16:09.667154385Z,2,2025-12-06T16:16:09.726958929Z,true,2025-12-06T16:16:40.650555726Z
01KBT760Y5XPXYTNYEKTWDEFZB,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:09.669777957Z,false,2025-12-06T16:16:09.669777957Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:09.669777957Z,5,2025-12-06T16:16:09.669777957Z,Round 5,2025-12-06T16:16:09.669777957Z,2,2025-12-06T16:16:09.793513367Z,false,2025-12-06T16:16:09.669777957Z
01KBT760Y9NXJCVF2Q4TKZ64BG,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:09.673231504Z,false,2025-12-06T16:16:09.673231504Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:09.673231504Z,10,2025-12-06T16:16:09.673231504Z,Round 10,2025-12-06T16:16:09.673231504Z,2,2025-12-06T16:16:09.867491658Z,false,2025-12-06T16:16:09.673231504Z
01KBT760Y9NXJCVF2Q56MT4D3Z,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:09.673889585Z,false,2025-12-06T16:16:09.673889585Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:09.673889585Z,11,2025-12-06T16:16:09.673889585Z,Round 11,2025-12-06T16:16:09.673889585Z,2,2025-12-06T16:16:09.907815515Z,false,2025-12-06T16:16:09.673889585Z
01KBT8JC5538T1GWHA2NJK49YW,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:22.949406592Z,true,2025-12-06T16:43:07.355152951Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:22.949406592Z,4,2025-12-06T16:40:22.949406592Z,Round 4,2025-12-06T16:40:22.949406592Z,2,2025-12-06T16:40:23.070167976Z,true,2025-12-06T16:42:49.143900482Z
01KBT8JC5A87SMC7HJNAJ5Z1E8,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:22.954582151Z,true,2025-12-06T16:44:26.585222853Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:22.954582151Z,10,2025-12-06T16:40:22.954582151Z,Round 10,2025-12-06T16:40:22.954582151Z,2,2025-12-06T16:40:23.192488361Z,true,2025-12-06T16:44:12.602431543Z
01KBT8JC5BFMT46X1WT6KH4T9Q,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:22.955632391Z,true,2025-12-06T16:44:34.758276115Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:22.955632391Z,11,2025-12-06T16:40:22.955632391Z,Round 11,2025-12-06T16:40:22.955632391Z,2,2025-12-06T16:40:23.203903392Z,true,2025-12-06T16:44:26.597847491Z
01KBT760Y819FBJWCN6C9YTT2V,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:09.672523683Z,false,2025-12-06T16:16:09.672523683Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:09.672523683Z,9,2025-12-06T16:16:09.672523683Z,Round 9,2025-12-06T16:16:09.672523683Z,2,2025-12-06T16:16:09.852136509Z,false,2025-12-06T16:16:09.672523683Z
01KBT8JC537P7XSTXWVPC98DA6,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:22.947649534Z,true,2025-12-06T16:42:28.986440613Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:22.947649534Z,2,2025-12-06T16:40:22.947649534Z,Round 2,2025-12-06T16:40:22.947649534Z,2,2025-12-06T16:40:23.022083744Z,true,2025-12-06T16:42:09.762929692Z
01KBT8JC58NYCXZCWG2RR5PA9R,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:22.952738171Z,true,2025-12-06T16:44:03.815729508Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:22.952738171Z,8,2025-12-06T16:40:22.952738171Z,Round 8,2025-12-06T16:40:22.952738171Z,2,2025-12-06T16:40:23.161917691Z,true,2025-12-06T16:43:53.710946281Z
01KBT760Y7WKP7JCRK5XHC36ED,01KBT6DVG6W62WD2XBFGRBAATQ,2025-12-06T16:16:09.671396207Z,true,2025-12-06T16:19:41.542197735Z,01KBT6DVGK35F3HGEG7HRCQ3XJ,2025-12-06T16:16:09.671396207Z,4,2025-12-06T16:16:09.671396207Z,Round 4,2025-12-06T16:16:09.671396207Z,2,2025-12-06T16:16:09.764804271Z,true,2025-12-06T16:19:20.7000962Z
01KBT8JC57QP16MSB0DDP76DTA,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:22.951946665Z,true,2025-12-06T16:43:53.701214233Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:22.951946665Z,7,2025-12-06T16:40:22.951946665Z,Round 7,2025-12-06T16:40:22.951946665Z,2,2025-12-06T16:40:23.145948475Z,true,2025-12-06T16:43:40.089287223Z
01KBT8JC57QP16MSB0CYJ7G31C,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:22.951114477Z,true,2025-12-06T16:43:40.074867203Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:22.951114477Z,6,2025-12-06T16:40:22.951114477Z,Round 6,2025-12-06T16:40:22.951114477Z,2,2025-12-06T16:40:23.130182923Z,true,2025-12-06T16:43:27.155868445Z
01KBT8JC59WR4B2QH45SGD8YXW,01KBT77RTCP09Q4GFK4SZVTD56,2025-12-06T16:40:22.953571925Z,true,2025-12-06T16:44:12.58510923Z,01KBT77RTTJ1K1FK6KETJD29AX,2025-12-06T16:40:22.953571925Z,9,2025-12-06T16:40:22.953571925Z,Round 9,2025-12-06T16:40:22.953571925Z,2,2025-12-06T16:40:23.179510725Z,true,2025-12-06T16:44:03.828722099Z
